acceptable : unacceptable = aware : unaware -> ['aware', 'unaware', 'wary', 'fearful', 'mindful']
acceptable : unacceptable = certain : uncertain -> ['certain', 'certian', 'gravest', 'egregious', 'drug-related']
acceptable : unacceptable = clear : unclear -> ['clear', 'obvious', 'clear-cut', 'blatant', 'egregious']
acceptable : unacceptable = comfortable : uncomfortable -> ['comfortable', 'uncomfortable', 'unhappy', 'miserable', 'nauseous']
acceptable : unacceptable = competitive : uncompetitive -> ['competitive', 'uncompetitive', 'non-competitive', 'uncontrollable', 'unpredictable']
acceptable : unacceptable = consistent : inconsistent -> ['consistent', 'inconsistent', 'incompatible', 'consistant', 'irreconcilable']
acceptable : unacceptable = convincing : unconvincing -> ['convincing', 'compelling', 'infuriating', 'shocking', 'upsetting']
acceptable : unacceptable = convenient : inconvenient -> ['convenient', 'inconvenient', 'cumbersome', 'error-prone', 'unacceptable']
acceptable : unacceptable = decided : undecided -> ['decided', 'demurred', 'retorted', 'backtracked', 'decides']
acceptable : unacceptable = efficient : inefficient -> ['efficient', 'inefficient', 'unsustainable', 'wasteful', 'error-prone']
acceptable : unacceptable = ethical : unethical -> ['ethical', 'epistemological', 'methodological', 'vexatious', 'philosophic']
acceptable : unacceptable = fortunate : unfortunate -> ['fortunate', 'unlucky', 'unfortunate', 'lucky', 'egregious']
acceptable : unacceptable = honest : dishonest -> ['honest', 'dishonest', 'inept', 'obstinate', 'cynical']
acceptable : unacceptable = impressive : unimpressive -> ['impressive', 'remarkable', 'incredible', 'unimpressive', 'unbelievable']
acceptable : unacceptable = informative : uninformative -> ['informative', 'unmaintainable', 'non-encyclopedic', 'unencyclopaedic', 'unencyclopedic']
acceptable : unacceptable = informed : uninformed -> ['informed', 'apprised', 'forewarned', 'reassured', 'notified']
acceptable : unacceptable = known : unknown -> ['known', 'alledged', 'referred', 'billed', 'misidentified']
acceptable : unacceptable = likely : unlikely -> ['likely', 'unlikely', 'unacceptable', 'probable', 'egregious']
acceptable : unacceptable = logical : illogical -> ['logical', 'illogical', 'irrational', 'paradoxical', 'ludicrous']
acceptable : unacceptable = pleasant : unpleasant -> ['pleasant', 'unpleasant', 'gloomy', 'dreary', 'bleak']
acceptable : unacceptable = possible : impossible -> ['possible', 'unacceptable', 'unintentional', 'avoidable', 'unavoidable']
acceptable : unacceptable = possibly : impossibly -> ['possibly', 'potentially', 'presumably', 'arguably', 'probably']
acceptable : unacceptable = productive : unproductive -> ['productive', 'unproductive', 'non-productive', 'fruitful', 'wasteful']
acceptable : unacceptable = rational : irrational -> ['rational', 'irrational', 'idiotic', 'vexatious', 'common-sense']
acceptable : unacceptable = reasonable : unreasonable -> ['reasonable', 'unreasonable', 'unacceptable', 'ridiculous', 'illogical']
acceptable : unacceptable = responsible : irresponsible -> ['responsible', 'liable', 'accountable', 'culpable', 'unprepared']
acceptable : unacceptable = sure : unsure -> ['sure', 'unsure', 'afraid', 'confident', 'regretful']
acceptable : unacceptable = tasteful : distasteful -> ['tasteful', 'self-indulgent', 'amateurish', 'over-the-top', 'scurrilous']
aware : unaware = certain : uncertain -> ['certain', 'unaware', 'certian', 'unspecified', 'unsure']
aware : unaware = clear : unclear -> ['clear', 'clear-cut', 'unsaid', 'unaware', 'unclear']
