banana : bananas = bird : birds -> ['bird', 'birds', 'butterflies', 'turkeys', 'pigeons']
banana : bananas = bottle : bottles -> ['bottle', 'bottles', 'vials', 'kegs', 'cans']
banana : bananas = building : buildings -> ['building', 'buildings', 'rowhouses', 'high-rises', 'edifice']
banana : bananas = car : cars -> ['car', 'cars', 'motorcycles', 'truck', 'suv']
banana : bananas = cat : cats -> ['cat', 'cats', 'rabbit', 'rabbits', 'dogs']
banana : bananas = child : children -> ['child', 'children', 'babies', 'daughters', 'kittens']
banana : bananas = cloud : clouds -> ['cloud', 'clouds', 'icebergs', 'glare', 'mist']
banana : bananas = color : colors -> ['color', 'colour', 'colors', 'colours', 'coloration']
banana : bananas = computer : computers -> ['computer', 'computers', 'microcomputers', 'ipods', 'macintoshes']
banana : bananas = cow : cows -> ['cow', 'cows', 'goats', 'rabbits', 'pigs']
banana : bananas = dog : dogs -> ['dog', 'dogs', 'puppies', 'rabbits', 'ferrets']
banana : bananas = dollar : dollars -> ['dollar', 'dollars', 'pennies', 'rupees', 'rupee']
banana : bananas = donkey : donkeys -> ['donkey', 'donkeys', 'goats', 'rabbits', 'camels']
banana : bananas = dream : dreams -> ['dream', 'dreams', 'fantasies', 'daydreams', 'visions']
banana : bananas = eagle : eagles -> ['eagle', 'minks', 'bison', 'pigeons', 'kestrel']
banana : bananas = elephant : elephants -> ['elephant', 'elephants', 'donkeys', 'camels', 'turkeys']
banana : bananas = eye : eyes -> ['eye', 'eyes', 'lungs', 'cadavers', 'corneas']
banana : bananas = finger : fingers -> ['finger', 'fingers', 'toes', 'forefinger', 'elbows']
banana : bananas = goat : goats -> ['goat', 'goats', 'yaks', 'turkeys', 'donkeys']
banana : bananas = hand : hands -> ['hand', 'hands', 'fingertips', 'fingers', 'wrists']
banana : bananas = horse : horses -> ['horse', 'horses', 'mules', 'thoroughbreds', 'cows']
banana : bananas = lion : lions -> ['lion', 'boar', 'elephants', 'gazelles', 'goats']
banana : bananas = machine : machines -> ['machine', 'machines', 'lathes', 'contraptions', 'phonographs']
