albania : albanian = argentina : argentinean -> ['albanian', 'ecuadorian', 'luxembourgish', 'algerian', 'slovakian']
albania : albanian = australia : australian -> ['albanian', 'maldivian', 'luxembourgish', 'slovakian', 'grenadian']
albania : albanian = austria : austrian -> ['albanian', 'romanian', 'hungarian', 'luxembourgish', 'croatian']
albania : albanian = belarus : belorussian -> ['albanian', 'belarusian', 'croatian', 'ukrainian', 'latvian']
albania : albanian = brazil : brazilian -> ['albanian', 'luxembourgish', 'croatian', 'faroese', 'indonesian']
albania : albanian = bulgaria : bulgarian -> ['albanian', 'ukrainian', 'croatian', 'lithuanian', 'belarusian']
albania : albanian = cambodia : cambodian -> ['albanian', 'laotian', 'luxembourgish', 'asturian', 'indonesian']
albania : albanian = chile : chilean -> ['albanian', 'ecuadorian', 'algerian', 'peruvian', 'tunisian']
albania : albanian = china : chinese -> ['albanian', 'cambodian', 'sardinian', 'somali', 'indonesian']
albania : albanian = colombia : colombian -> ['albanian', 'ecuadorian', 'bolivian', 'indonesian', 'algerian']
albania : albanian = croatia : croatian -> ['albanian', 'croatian', 'lithuanian', 'latvian', 'ukrainian']
albania : albanian = denmark : danish -> ['albanian', 'luxembourgish', 'croatian', 'romanian', 'hungarian']
albania : albanian = egypt : egyptian -> ['albanian', 'lithuanian', 'luxembourgish', 'galician', 'asturian']
albania : albanian = england : english -> ['albanian', 'england', 'romanian', 'kashubian', 'luxembourgish']
albania : albanian = france : french -> ['albanian', 'luxembourgish', 'slovakian', 'romanian', 'sicilian']
albania : albanian = germany : german -> ['romanian', 'albanian', 'bulgarian', 'hungarian', 'estonian']
albania : albanian = greece : greek -> ['albanian', 'luxembourgish', 'macedonian', 'croatian', 'greek']
albania : albanian = iceland : icelandic -> ['albanian', 'luxembourgish', 'croatian', 'faroese', 'icelandic']
albania : albanian = india : indian -> ['albanian', 'maldivian', 'latvian', 'luxembourgish', 'estonian']
albania : albanian = ireland : irish -> ['albanian', 'irish', 'luxembourgish', 'icelandic', 'faroese']
albania : albanian = israel : israeli -> ['albanian', 'romanian', 'croatian', 'bosnian', 'lithuanian']
albania : albanian = italy : italian -> ['albanian', 'romanian', 'luxembourgish', 'galician', 'latvian']
albania : albanian = japan : japanese -> ['albanian', 'indonesian', 'romanian', 'finnish', 'croatian']
albania : albanian = korea : korean -> ['albanian', 'indonesian', 'estonian', 'ukrainian', 'latvian']
albania : albanian = macedonia : macedonian -> ['albanian', 'macedonian', 'bosnian', 'kashubian', 'armenian']
