dancing : danced = decreasing : decreased -> ['decreasing', 'decreased', 'trebled', 'increasing', 'oscillated']
dancing : danced = describing : described -> ['describing', 'described', 'describes', 'conceptualised', 'recollected']
dancing : danced = enhancing : enhanced -> ['enhancing', 'innovated', 'sublimated', 'benchmarked', 'dovetailed']
dancing : danced = falling : fell -> ['falling', 'fell', 'tumbled', 'recoiled', 'strolled']
dancing : danced = feeding : fed -> ['feeding', 'foraged', 'pastured', 'feasted', 'brooded']
dancing : danced = flying : flew -> ['flying', 'flew', 'flown', 'piloted', 'parachuted']
dancing : danced = generating : generated -> ['generating', 'generated', 'generate', 'assayed', 'benchmarked']
dancing : danced = going : went -> ['going', 'breezed', 'went', 'cycled', 'strolled']
dancing : danced = hiding : hid -> ['hiding', 'stashed', 'concealed', 'dwelled', 'sojourned']
dancing : danced = hitting : hit -> ['hitting', 'volleyed', 'homered', 'slugged', 'flicked']
dancing : danced = implementing : implemented -> ['implementing', 'implemented', 'innovated', 'benchmarked', 'conceptualised']
dancing : danced = increasing : increased -> ['increasing', 'increased', 'trebled', 'decreased', 'oscillated']
dancing : danced = jumping : jumped -> ['jumping', 'jumped', 'skied', 'leaped', 'strolled']
dancing : danced = knowing : knew -> ['knowing', 'intimated', 'realising', 'pondered', 'regretting']
dancing : danced = listening : listened -> ['listening', 'listened', 'listen', 'hummed', 'danced']
dancing : danced = looking : looked -> ['looking', 'looked', 'gazed', 'marveled', 'glanced']
dancing : danced = moving : moved -> ['moving', 'moved', 'freighted', 'trekked', 'hitchhiked']
dancing : danced = paying : paid -> ['paying', 'paid', 'payed', 'remitted', 'reimbursed']
dancing : danced = playing : played -> ['played', 'playing', 'essayed', 'danced', 'understudied']
dancing : danced = predicting : predicted -> ['predicting', 'predicted', 'forecasted', 'pondered', 'predict']
dancing : danced = reading : read -> ['reading', 'read', 'perused', 'memorised', 'recited']
dancing : danced = running : ran -> ['running', 'ran', 'skied', 'cycled', 'jogged']
dancing : danced = saying : said -> ['saying', 'quipped', 'retorted', 'exclaimed', 'muttered']
dancing : danced = screaming : screamed -> ['screamed', 'screaming', 'cried', 'barked', 'shouted']
dancing : danced = seeing : saw -> ['seeing', 'pondered', 'glimpsed', 'marveled', 'saw']
dancing : danced = selling : sold -> ['selling', 'sold', 'retailed', 'sell', 'resold']
dancing : danced = shrinking : shrank -> ['shrinking', 'oscillated', 'trebled', 'sublimated', 'rifted']
dancing : danced = singing : sang -> ['danced', 'sang', 'singing', 'rapped', 'performed']
dancing : danced = sitting : sat -> ['sitting', 'dined', 'danced', 'strolled', 'sat']
dancing : danced = sleeping : slept -> ['sleeping', 'dined', 'danced', 'feasted', 'roomed']
