athens : greece = baghdad : iraq -> ['syria', 'baghdad', 'iraq', 'libya', 'afghanistan']
athens : greece = bangkok : thailand -> ['thailand', 'bangkok', 'indonesia', 'cambodia', 'malaysia']
athens : greece = beijing : china -> ['china', 'beijing', 'greece', 'taiwan', 'mongolia']
athens : greece = berlin : germany -> ['berlin', 'germany', 'greece', 'allied-occupied', 'italy']
athens : greece = bern : switzerland -> ['bern', 'switzerland', 'aargau', 'obwalden', 'graubnden']
athens : greece = cairo : egypt -> ['egypt', 'cairo', 'syria', 'greece', 'libya']
athens : greece = canberra : australia -> ['canberra', 'australia', 'queensland', 'tasmania', 'zealand']
athens : greece = hanoi : vietnam -> ['hanoi', 'cambodia', 'thailand', 'vietnam', 'indonesia']
athens : greece = havana : cuba -> ['havana', 'cuba', 'venezuela', 'ecuador', 'argentina']
athens : greece = helsinki : finland -> ['finland', 'helsinki', 'greece', 'latvia', 'tampere']
athens : greece = islamabad : pakistan -> ['islamabad', 'pakistan', 'afghanistan', 'sindh', 'tajikistan']
athens : greece = kabul : afghanistan -> ['kabul', 'afghanistan', 'pakistan', 'syria', 'libya']
athens : greece = london : england -> ['london', 'greece', 'scandinavia', 'britain', 'germany']
athens : greece = madrid : spain -> ['spain', 'madrid', 'murcia', 'portugal', 'extremadura']
athens : greece = moscow : russia -> ['russia', 'moscow', 'ukraine', 'greece', 'bulgaria']
athens : greece = oslo : norway -> ['oslo', 'norway', 'finland', 'trondheim', 'denmark']
athens : greece = ottawa : canada -> ['ottawa', 'canada', 'mississauga', 'drummondville', 'saskatchewan']
athens : greece = paris : france -> ['paris', 'france', 'belgium', 'italy', 'greece']
athens : greece = rome : italy -> ['italy', 'greece', 'rome', 'sardinia', 'bulgaria']
athens : greece = stockholm : sweden -> ['stockholm', 'sweden', 'finland', 'norway', 'denmark']
athens : greece = tehran : iran -> ['iran', 'tehran', 'tajikistan', 'syria', 'afghanistan']
athens : greece = tokyo : japan -> ['tokyo', 'japan', 'greece', 'hokkaid', 'taiwan']
baghdad : iraq = bangkok : thailand -> ['bangkok', 'thailand', 'cambodia', 'vietnam', 'laos']
baghdad : iraq = beijing : china -> ['beijing', 'china', 'iraq', 'vietnam', 'prc']
baghdad : iraq = berlin : germany -> ['berlin', 'germany', 'iraq', 'frg', 'munich']
baghdad : iraq = bern : switzerland -> ['bern', 'switzerland', 'aargau', 'berne', 'obwalden']
baghdad : iraq = cairo : egypt -> ['iraq', 'cairo', 'egypt', 'libya', 'syria']
baghdad : iraq = canberra : australia -> ['canberra', 'queensland', 'australia', 'tasmania', 'iraq']
baghdad : iraq = hanoi : vietnam -> ['hanoi', 'vietnam', 'cambodia', 'laos', 'iraq']
baghdad : iraq = havana : cuba -> ['havana', 'cuba', 'iraq', 'argentina', 'haiti']
baghdad : iraq = helsinki : finland -> ['helsinki', 'finland', 'tampere', 'latvia', 'vantaa']
baghdad : iraq = islamabad : pakistan -> ['islamabad', 'iraq', 'afghanistan', 'pakistan', 'tajikistan']
baghdad : iraq = kabul : afghanistan -> ['iraq', 'afghanistan', 'kabul', 'libya', 'tajikistan']
baghdad : iraq = london : england -> ['london', 'iraq', 'merseyside', 'cornwall', 'britain']
baghdad : iraq = madrid : spain -> ['madrid', 'spain', 'iraq', 'extremadura', 'castilla']
baghdad : iraq = moscow : russia -> ['moscow', 'russia', 'ussr', 'belarus', 'ukraine']
baghdad : iraq = oslo : norway -> ['oslo', 'norway', 'trondheim', 'rogaland', 'finland']
baghdad : iraq = ottawa : canada -> ['ottawa', 'mississauga', 'lloydminster', 'sarnia', 'ontario']
baghdad : iraq = paris : france -> ['paris', 'france', 'belgium', 'iraq', 'menton']
baghdad : iraq = rome : italy -> ['rome', 'italy', 'iraq', 'greece', 'spain']
baghdad : iraq = stockholm : sweden -> ['stockholm', 'sweden', 'finland', 'norway', 'denmark']
baghdad : iraq = tehran : iran -> ['iraq', 'tehran', 'iran', 'afghanistan', 'tajikistan']
baghdad : iraq = tokyo : japan -> ['tokyo', 'japan', 'iraq', 'vietnam', 'taiwan']
baghdad : iraq = athens : greece -> ['athens', 'greece', 'iraq', 'macedonia', 'maroussi']
bangkok : thailand = beijing : china -> ['beijing', 'thailand', 'china', 'mongolia', 'taiwan']
