albania : albanian = argentina : argentinean -> ['argentine', 'argentinian', 'uruguayan', 'ecuadorian', 'buenos']
albania : albanian = australia : australian -> ['australian', 'queensland', 'tasmania', 'nsw', 'melbourne']
albania : albanian = austria : austrian -> ['austrian', 'graz', 'styria', 'hungarian', 'swabian']
albania : albanian = belarus : belorussian -> ['belarusian', 'ukrainian', 'lithuanian', 'latvian', 'azerbaijani']
albania : albanian = brazil : brazilian -> ['brazilian', 'portuguese', 'pernambuco', 'angolan', 'bahia']
albania : albanian = bulgaria : bulgarian -> ['bulgarian', 'serbian', 'macedonian', 'croatian', 'montenegrin']
albania : albanian = cambodia : cambodian -> ['cambodian', 'laotian', 'indonesian', 'burmese', 'thai']
albania : albanian = chile : chilean -> ['peruvian', 'chilean', 'argentine', 'ecuadorian', 'bolivian']
albania : albanian = china : chinese -> ['chinese', 'fujian', 'taiwanese', 'tianjin', 'shanghai']
albania : albanian = colombia : colombian -> ['colombian', 'ecuadorian', 'peruvian', 'bolivian', 'uruguayan']
albania : albanian = croatia : croatian -> ['croatian', 'serbian', 'montenegrin', 'bosnian', 'slovenian']
albania : albanian = denmark : danish -> ['danish', 'icelandic', 'swedish', 'faroese', 'norwegian']
albania : albanian = egypt : egyptian -> ['egyptian', 'moroccan', 'algerian', 'libyan', 'nubia']
albania : albanian = england : english -> ['welsh', 'cornish', 'lancashire', 'scottish', 'english']
albania : albanian = france : french -> ['algerian', 'nmes', 'french', 'bordeaux', 'strasbourg']
albania : albanian = germany : german -> ['german', 'hamburg', 'erfurt', 'braunschweig', 'mannheim']
albania : albanian = greece : greek -> ['greek', 'macedonian', 'cypriot', 'cretan', 'montenegrin']
albania : albanian = iceland : icelandic -> ['icelandic', 'faroese', 'danish', 'estonian', 'norwegian']
albania : albanian = india : indian -> ['gujarat', 'indian', 'maharashtra', 'kerala', 'orissa']
albania : albanian = ireland : irish -> ['irish', 'scottish', 'welsh', 'gaelic', 'derry']
albania : albanian = israel : israeli -> ['israeli', 'palestinian', 'eretz', 'menashe', 'jewish']
albania : albanian = italy : italian -> ['italian', 'bergamo', 'livorno', 'treviso', 'vicenza']
albania : albanian = japan : japanese -> ['japanese', 'tokyo', 'nagoya', 'sendai', 'okinawan']
albania : albanian = korea : korean -> ['korean', 'vietnamese', 'koreans', 'chinese', 'indonesian']
albania : albanian = macedonia : macedonian -> ['macedonian', 'montenegrin', 'serbian', 'croatian', 'bulgarian']
albania : albanian = malta : maltese -> ['maltese', 'valletta', 'icelandic', 'gozo', 'italian']
albania : albanian = mexico : mexican -> ['mexican', 'michoacn', 'oaxaca', 'sinaloa', 'guanajuato']
albania : albanian = moldova : moldovan -> ['moldovan', 'romanian', 'belarusian', 'montenegrin', 'croatian']
albania : albanian = netherlands : dutch -> ['dutch', 'danish', 'belgian', 'flemish', 'groningen']
albania : albanian = norway : norwegian -> ['norwegian', 'icelandic', 'danish', 'swedish', 'finnish']
albania : albanian = peru : peruvian -> ['peruvian', 'ecuadorian', 'bolivian', 'argentine', 'colombian']
albania : albanian = poland : polish -> ['polish', 'silesian', 'lithuanian', 'krakw', 'pozna']
albania : albanian = portugal : portuguese -> ['portuguese', 'angolan', 'spanish', 'aragonese', 'galician']
albania : albanian = russia : russian -> ['russian', 'ukrainian', 'kazakh', 'belarusian', 'yekaterinburg']
albania : albanian = slovakia : slovakian -> ['slovak', 'slovakian', 'czech', 'slovenian', 'croatian']
albania : albanian = spain : spanish -> ['spanish', 'castilian', 'aragonese', 'catalan', 'basque']
albania : albanian = sweden : swedish -> ['swedish', 'danish', 'icelandic', 'finnish', 'norwegian']
albania : albanian = switzerland : swiss -> ['zrich', 'zurich', 'swiss', 'solothurn', 'neuchtel']
albania : albanian = thailand : thai -> ['thai', 'indonesian', 'malaysian', 'cambodian', 'laotian']
argentina : argentinean = australia : australian -> ['australian', 'queensland', 'nsw', 'sydney-based', 'melbourne']
argentina : argentinean = austria : austrian -> ['austrian', 'austrian-hungarian', 'austrian-german', 'styria', 'german-austrian']
argentina : argentinean = belarus : belorussian -> ['belarussian', 'latvian', 'belarusian', 'azerbaijani', 'ukrainian']
argentina : argentinean = brazil : brazilian -> ['brazilian', 'mrio', 'couto', 'gonalves', 'magalhes']
argentina : argentinean = bulgaria : bulgarian -> ['bulgarian', 'serbian', 'croatian', 'herzegovinian', 'macedonian']
argentina : argentinean = cambodia : cambodian -> ['cambodian', 'indonesian', 'laotian', 'khmer', 'burmese']
argentina : argentinean = chile : chilean -> ['chilean', 'argentinian', 'peruvian', 'colombian', 'venezuelan']
argentina : argentinean = china : chinese -> ['chinese', 'taiwanese', 'tianjin', 'shanghai', 'beijing']
argentina : argentinean = colombia : colombian -> ['colombian', 'venezuelan', 'ecuadorian', 'argentinian', 'peruvian']
argentina : argentinean = croatia : croatian -> ['croatian', 'serbian', 'montenegrin', 'yugoslavian', 'slovenian']
argentina : argentinean = denmark : danish -> ['danish', 'birger', 'harald', 'swedish', 'uffe']
argentina : argentinean = egypt : egyptian -> ['egyptian', 'tunisian', 'moroccan', 'al-hariri', 'nubia']
