decrease : decreases = describe : describes -> ['describes', 'define', 'characterize', 'describing', 'relates']
decrease : decreases = eat : eats -> ['eats', 'ate', 'consume', 'eaten', 'greedily']
decrease : decreases = enhance : enhances -> ['enhances', 'improves', 'enhancing', 'improve', 'diminishes']
decrease : decreases = estimate : estimates -> ['estimates', 'estimating', 'estimations', 'calculate', 'calculates']
decrease : decreases = find : finds -> ['finds', 'locate', 'finding', 'discover', 'reveals']
decrease : decreases = generate : generates -> ['generates', 'generated', 'creates', 'time-varying', 'generating']
decrease : decreases = go : goes -> ['goes', 'went', 'gone', 'proceed', 'drags']
decrease : decreases = implement : implements -> ['implementing', 'implements', 'implementation', 'back-end', 'configure']
decrease : decreases = increase : increases -> ['increases', 'increasing', 'decreasing', 'reduces', 'diminishes']
decrease : decreases = listen : listens -> ['listens', 'hear', 'listened', 'tell', 'attentively']
decrease : decreases = play : plays -> ['playing', 'played', 'plays', 'hide-and-seek', 'charades']
decrease : decreases = predict : predicts -> ['calculate', 'determines', 'predicts', 'predicting', 'determine']
decrease : decreases = provide : provides -> ['provides', 'providing', 'provided', 'furnishes', 'offers']
decrease : decreases = say : says -> ['says', 'think', 'suppose', 'presume', 'know']
decrease : decreases = scream : screams -> ['screams', 'shouts', 'shriek', 'screamed', 'roars']
decrease : decreases = search : searches -> ['searches', 'searching', 'breadth-first', 'google', 'seach']
decrease : decreases = see : sees -> ['know', 'tell', 'remember', 'sees', 'illustrates']
decrease : decreases = shuffle : shuffles -> ['shuffles', 'rotates', 'spacebar', 'bounces', 'vibrates']
decrease : decreases = sing : sings -> ['sings', 'sang', 'singing', 'sung', 'croon']
decrease : decreases = sit : sits -> ['sat', 'sits', 'sitting', 'stays', 'knelt']
decrease : decreases = slow : slows -> ['slows', 'fast', 'slowed', 'slowing', 'accelerates']
decrease : decreases = speak : speaks -> ['speaks', 'spoke', 'speaking', 'fluently', 'pronounce']
decrease : decreases = swim : swims -> ['swims', 'swam', 'paddling', 'swimming', 'paddled']
decrease : decreases = talk : talks -> ['mid-class', 'start-class', 'no-class', 'low-class', 'stub-class']
