abuja : nigeria = accra : ghana -> ['ghana', 'cameroon', 'mali', 'gambia', 'uganda']
abuja : nigeria = algiers : algeria -> ['algeria', 'morocco', 'tunisia', 'mauritania', 'libya']
abuja : nigeria = amman : jordan -> ['egypt', 'sudan', 'jordan', 'kamakshi', 'sohag']
abuja : nigeria = ankara : turkey -> ['turkey', 'adana', 'aydn', 'hatay', 'artvin']
abuja : nigeria = antananarivo : madagascar -> ['madagascar', 'cameroon', 'mali', 'senegal', 'mauritania']
abuja : nigeria = apia : samoa -> ['samoa', 'tonga', 'fiji', 'vanuatu', 'tokelau']
abuja : nigeria = ashgabat : turkmenistan -> ['tajikistan', 'turkmenistan', 'uzbekistan', 'kazakhstan', 'kyrgyzstan']
abuja : nigeria = asmara : eritrea -> ['eritrea', 'ethiopia', 'sudan', 'somalia', 'uganda']
abuja : nigeria = astana : kazakhstan -> ['kazakhstan', 'uzbekistan', 'turkmenistan', 'kyrgyzstan', 'pavlodar']
abuja : nigeria = athens : greece -> ['greece', 'crete', 'thessaly', 'messenia', 'cyprus']
abuja : nigeria = baghdad : iraq -> ['iraq', 'syria', 'mosul', 'yemen', 'basra']
abuja : nigeria = baku : azerbaijan -> ['azerbaijan', 'turkmenistan', 'uzbekistan', 'kazakhstan', 'dagestan']
abuja : nigeria = bamako : mali -> ['mali', 'senegal', 'cameroon', 'mauritania', 'benin']
abuja : nigeria = bangkok : thailand -> ['thailand', 'cambodia', 'myanmar', 'singapore', 'laos']
abuja : nigeria = banjul : gambia -> ['gambia', 'senegal', 'guinea-bissau', 'ghana', 'mauritania']
abuja : nigeria = beijing : china -> ['china', 'taiwan', 'mongolia', 'guangdong', 'fujian']
abuja : nigeria = beirut : lebanon -> ['lebanon', 'syria', 'libya', 'yemen', 'somalia']
abuja : nigeria = belgrade : serbia -> ['serbia', 'croatia', 'montenegro', 'vojvodina', 'osijek']
abuja : nigeria = belmopan : belize -> ['belize', 'guatemala', 'honduras', 'ghana', 'peru']
abuja : nigeria = berlin : germany -> ['germany', 'hamburg', 'gttingen', 'leipzig', 'dsseldorf']
abuja : nigeria = bern : switzerland -> ['aargau', 'thurgau', 'basel-country', 'solothurn', 'fribourg']
abuja : nigeria = bishkek : kyrgyzstan -> ['uzbekistan', 'kazakhstan', 'turkmenistan', 'tajikistan', 'kyrgyzstan']
abuja : nigeria = bratislava : slovakia -> ['slovakia', 'koice', 'nitra', 'trnava', 'slovak']
abuja : nigeria = brussels : belgium -> ['belgium', 'luxembourg', 'antwerp', 'wallonia', 'dutch-speaking']
abuja : nigeria = bucharest : romania -> ['romania', 'moldova', 'timioara', 'transylvania', 'cluj-napoca']
abuja : nigeria = budapest : hungary -> ['hungary', 'szeged', 'romania', 'debrecen', 'hungarian']
abuja : nigeria = bujumbura : burundi -> ['cameroon', 'senegal', 'gabon', 'guinea-bissau', 'mauritania']
abuja : nigeria = cairo : egypt -> ['egypt', 'syria', 'libya', 'tunisia', 'sudan']
abuja : nigeria = canberra : australia -> ['australia', 'queensland', 'tasmania', 'brisbane', 'melbourne']
abuja : nigeria = caracas : venezuela -> ['venezuela', 'ecuador', 'guatemala', 'colombia', 'peru']
abuja : nigeria = chisinau : moldova -> ['moldova', 'ukraine', 'romania', 'gagauzia', 'karakalpakstan']
abuja : nigeria = conakry : guinea -> ['cameroon', 'senegal', 'bissau', 'mali', 'guinea-bissau']
abuja : nigeria = copenhagen : denmark -> ['denmark', 'aarhus', 'norway', 'sweden', 'stockholm']
