code : coding = dance : dancing -> ['breakdancing', 'bhangra', 'improvisation', 'music', 'choreography']
code : coding = debug : debugging -> ['debugging', 'multi-threaded', 'post-processing', 'multithreaded', 'postprocessing']
code : coding = decrease : decreasing -> ['increase', 'decreasing', 'increases', 'decreases', 'reduction']
code : coding = describe : describing -> ['characterize', 'define', 'visualize', 'explain', 'analyze']
code : coding = discover : discovering -> ['uncover', 'discovering', 'discovers', 'realize', 'reveal']
code : coding = enhance : enhancing -> ['optimize', 'improve', 'enhancement', 'enhances', 'stimulate']
code : coding = fly : flying -> ['flies', 'float', 'glide', 'flying', 'airbreathing']
code : coding = generate : generating -> ['generates', 'generating', 'encode', 'amplify', 'produce']
code : coding = go : going -> ['get', 'proceed', 'goes', 'skip', 'move']
code : coding = implement : implementing -> ['formulate', 'implementing', 'optimize', 'data-driven', 'devise']
code : coding = increase : increasing -> ['decrease', 'increases', 'increasing', 'decreasing', 'increased']
code : coding = invent : inventing -> ['devise', 'memetic', 'non-intuitive', 'inventing', 'utilize']
code : coding = jump : jumping -> ['jumping', 'jumps', 'throw', 'sprinting', 'climb']
code : coding = listen : listening -> ['hear', 'listened', 'listening', 'respond', 'listens']
code : coding = look : looking -> ['looked', 'looking', 'looks', 'glance', 'staring']
code : coding = move : moving -> ['moving', 'moves', 'go', 'push', 'pull']
code : coding = play : playing -> ['playing', 'plays', 'pitch', 'improvise', 'played']
code : coding = predict : predicting -> ['predicting', 'quantify', 'analyze', 'prediction', 'visualize']
code : coding = read : reading -> ['write', 'reading', 'memorize', 'decode', 'flashcards']
code : coding = run : running -> ['running', 'runs', 'ran', 'sequencing', 'backpropagation']
code : coding = say : saying -> ['think', 'suppose', 'presume', 'believe', 'suggest']
code : coding = scream : screaming -> ['screams', 'screaming', 'shriek', 'laugh', 'shout']
code : coding = see : seeing -> ['explain', 'understand', 'visualize', 'know', 'imagine']
code : coding = shuffle : shuffling -> ['shuffling', 'shuffles', 'wavetable', 'fingerpicking', 'platforming']
code : coding = sing : singing -> ['singing', 'listen', 'improvise', 'off-key', 'rehearse']
code : coding = sit : sitting -> ['sitting', 'sat', 'go', 'stand', 'listen']
code : coding = slow : slowing -> ['slowing', 'fast', 'sluggish', 'repetitive', 'slowed']
code : coding = swim : swimming -> ['paddling', 'swims', 'swam', 'open-water', 'kayak']
code : coding = think : thinking -> ['suppose', 'guess', 'believe', 'say', 'imho']
