banana : bananas = bird : birds -> ['birds', 'parrots', 'songbirds', 'waterfowl', 'waders']
banana : bananas = bottle : bottles -> ['bottles', 'cans', 'corks', 'cigarettes', 'pint']
banana : bananas = building : buildings -> ['buildings', 'edifice', '10-story', 'eight-story', 'six-story']
banana : bananas = car : cars -> ['cars', 'motorcycles', 'truck', 'mercedes-benz', 'suvs']
banana : bananas = cat : cats -> ['cats', 'dog', 'rabbit', 'dogs', 'poodle']
banana : bananas = child : children -> ['children', 'grandchild', 'siblings', 'molesters', 'son']
banana : bananas = cloud : clouds -> ['clouds', 'cumulonimbus', 'meteoroids', 'aerosols', 'stratocumulus']
banana : bananas = color : colors -> ['colour', 'colors', 'hues', 'tints', 'cmyk']
banana : bananas = computer : computers -> ['computers', 'mainframe', 'microcomputers', 'maths', 'math']
banana : bananas = cow : cows -> ['cows', 'sheep', 'chickens', 'goats', 'goat']
banana : bananas = dog : dogs -> ['dogs', 'cats', 'cat', 'rabbits', 'horses']
banana : bananas = dollar : dollars -> ['dollars', 'pesos', 'rupees', 'pounds', 'rupee']
banana : bananas = donkey : donkeys -> ['konga', 'frogger', 'banjo-kazooie', 'wario', 'donkeys']
banana : bananas = dream : dreams -> ['dreams', 'dreaming', 'visions', 'nightmares', 'madness']
banana : bananas = eagle : eagles -> ['eagles', 'falcon', 'aquila', 'haliaeetus', 'short-eared']
banana : bananas = elephant : elephants -> ['elephants', 'rhinoceroses', 'rhinoceros', 'giraffes', 'ostriches']
banana : bananas = eye : eyes -> ['eyes', 'ocular', 'ear', 'jaundiced', 'skin']
banana : bananas = finger : fingers -> ['fingers', 'thumb', 'toes', 'forefinger', 'fingertips']
banana : bananas = goat : goats -> ['goats', 'sheep', 'cows', 'chickens', 'cow']
banana : bananas = hand : hands -> ['fingers', 'forearm', 'fingertips', 'fists', 'hands']
banana : bananas = horse : horses -> ['horses', 'mares', 'standardbred', 'racehorses', 'stallions']
banana : bananas = lion : lions -> ['elephants', 'wolves', 'leopards', 'hyenas', 'lions']
banana : bananas = machine : machines -> ['machines', 'lathes', 'guns', 'belt-fed', 'sub-machine']
banana : bananas = mango : mangoes -> ['mangoes', 'mangos', 'pineapples', 'oranges', 'strawberries']
banana : bananas = man : men -> ['woman', 'lad', 'gentleman', 'weakling', 'swordsman']
banana : bananas = melon : melons -> ['mangoes', 'melons', 'carrots', 'strawberries', 'apricots']
banana : bananas = monkey : monkeys -> ['monkeys', 'rat', 'baboon', 'capybara', 'parrots']
banana : bananas = mouse : mice -> ['mice', 'rats', 'rabbits', 'rat', 'white-footed']
banana : bananas = onion : onions -> ['onions', 'carrots', 'garlic', 'potatoes', 'tomatoes']
banana : bananas = pear : pears -> ['apricots', 'cherries', 'apples', 'figs', 'mangoes']
banana : bananas = pig : pigs -> ['pigs', 'chickens', 'sheep', 'meat', 'cows']
banana : bananas = pineapple : pineapples -> ['mangoes', 'pineapples', 'oranges', 'manioc', 'sugarcane']
banana : bananas = rat : rats -> ['rats', 'rodents', 'rattus', 'gerbils', 'norvegicus']
banana : bananas = road : roads -> ['highway', 'roadway', 'rd', 'a46', 'parkway']
banana : bananas = snake : snakes -> ['snakes', 'rattlesnakes', 'four-eyed', 'nonvenomous', 'bothrops']
banana : bananas = woman : women -> ['man', 'divorcee', 'girl', 'englishwoman', 'teenager']
bird : birds = bottle : bottles -> ['bottles', 'corks', 'cans', 'sachets', 'cartons']
bird : birds = building : buildings -> ['buildings', 'houses', 'facades', 'faades', 'edifice']
bird : birds = car : cars -> ['cars', 'vehicles', 'mercedes-benz', 'motorcycles', 'automobiles']
bird : birds = cat : cats -> ['cats', 'rabbits', 'dogs', 'ferrets', 'kittens']
bird : birds = child : children -> ['children', 'infants', 'molesters', 'grandchild', 'babies']
bird : birds = cloud : clouds -> ['clouds', 'cumulonimbus', 'stratocumulus', 'altocumulus', 'magellanic']
bird : birds = color : colors -> ['colour', 'tints', 'colorations', 'colors', 'coloration']
bird : birds = computer : computers -> ['computers', 'mainframe', 'microcomputers', 'peripherals', 'emulators']
bird : birds = cow : cows -> ['cows', 'goats', 'donkeys', 'chickens', 'calves']
bird : birds = dog : dogs -> ['dogs', 'cats', 'rabbits', 'animals', 'breeds']
bird : birds = dollar : dollars -> ['dollars', 'rupee', 'pesos', 'banknotes', 'coins']
bird : birds = donkey : donkeys -> ['donkeys', 'rabbits', 'camels', 'ostriches', 'crossbreeds']
bird : birds = dream : dreams -> ['dreams', 'visions', 'terrors', 'dreaming', 'nightmares']
bird : birds = eagle : eagles -> ['otters', 'foxes', 'haliaeetus', 'tamarins', 'white-tailed']
bird : birds = elephant : elephants -> ['elephants', 'giraffes', 'rhinoceroses', 'antelopes', 'ostriches']
bird : birds = eye : eyes -> ['eyelids', 'eyes', 'eyelid', 'lesions', 'ocular']
bird : birds = finger : fingers -> ['fingers', 'phalanges', 'metacarpals', 'toes', 'extremities']
bird : birds = goat : goats -> ['goats', 'cows', 'zebu', 'donkeys', 'fowls']
bird : birds = hand : hands -> ['fingers', 'extremities', 'forearm', 'fingertips', 'metacarpals']
bird : birds = horse : horses -> ['horses', 'camels', 'donkeys', 'ponies', 'gaited']
bird : birds = lion : lions -> ['elephants', 'giraffes', 'ostriches', 'hyenas', 'leopards']
bird : birds = machine : machines -> ['machines', 'lathes', 'guns', 'pistols', 'loaders']
