banana : bananas = bird : birds -> ['bird', 'birds', 'parrots', 'songbirds', 'waterfowl']
banana : bananas = bottle : bottles -> ['bottle', 'bottles', 'cans', 'corks', 'cigarettes']
banana : bananas = building : buildings -> ['building', 'buildings', 'edifice', '10-story', 'eight-story']
banana : bananas = car : cars -> ['car', 'cars', 'motorcycles', 'truck', 'mercedes-benz']
banana : bananas = cat : cats -> ['cat', 'cats', 'dog', 'rabbit', 'dogs']
banana : bananas = child : children -> ['child', 'children', 'grandchild', 'siblings', 'molesters']
banana : bananas = cloud : clouds -> ['cloud', 'clouds', 'cumulonimbus', 'meteoroids', 'aerosols']
banana : bananas = color : colors -> ['color', 'colour', 'colors', 'hues', 'tints']
banana : bananas = computer : computers -> ['computer', 'computers', 'mainframe', 'microcomputers', 'maths']
banana : bananas = cow : cows -> ['cow', 'cows', 'sheep', 'chickens', 'goats']
banana : bananas = dog : dogs -> ['dog', 'dogs', 'cats', 'cat', 'rabbits']
banana : bananas = dollar : dollars -> ['dollar', 'dollars', 'pesos', 'rupees', 'pounds']
banana : bananas = donkey : donkeys -> ['donkey', 'konga', 'frogger', 'banjo-kazooie', 'wario']
banana : bananas = dream : dreams -> ['dream', 'dreams', 'dreaming', 'visions', 'nightmares']
banana : bananas = eagle : eagles -> ['eagle', 'eagles', 'falcon', 'aquila', 'haliaeetus']
banana : bananas = elephant : elephants -> ['elephant', 'elephants', 'rhinoceroses', 'rhinoceros', 'giraffes']
banana : bananas = eye : eyes -> ['eye', 'eyes', 'ocular', 'ear', 'jaundiced']
banana : bananas = finger : fingers -> ['finger', 'fingers', 'thumb', 'toes', 'forefinger']
banana : bananas = goat : goats -> ['goat', 'goats', 'sheep', 'cows', 'chickens']
banana : bananas = hand : hands -> ['hand', 'fingers', 'forearm', 'fingertips', 'fists']
banana : bananas = horse : horses -> ['horse', 'horses', 'mares', 'standardbred', 'racehorses']
banana : bananas = lion : lions -> ['lion', 'elephants', 'wolves', 'leopards', 'hyenas']
banana : bananas = machine : machines -> ['machine', 'machines', 'lathes', 'guns', 'belt-fed']
banana : bananas = mango : mangoes -> ['bananas', 'mangoes', 'mango', 'mangos', 'pineapples']
banana : bananas = man : men -> ['man', 'woman', 'lad', 'gentleman', 'weakling']
banana : bananas = melon : melons -> ['melon', 'bananas', 'mangoes', 'melons', 'carrots']
banana : bananas = monkey : monkeys -> ['monkey', 'monkeys', 'rat', 'baboon', 'capybara']
banana : bananas = mouse : mice -> ['mouse', 'mice', 'rats', 'rabbits', 'rat']
banana : bananas = onion : onions -> ['onion', 'onions', 'carrots', 'garlic', 'potatoes']
banana : bananas = pear : pears -> ['pear', 'apricots', 'cherries', 'bananas', 'apples']
banana : bananas = pig : pigs -> ['pig', 'pigs', 'chickens', 'sheep', 'meat']
banana : bananas = pineapple : pineapples -> ['bananas', 'pineapple', 'mangoes', 'pineapples', 'oranges']
banana : bananas = rat : rats -> ['rat', 'rats', 'rodents', 'rattus', 'gerbils']
banana : bananas = road : roads -> ['road', 'highway', 'roadway', 'rd', 'a46']
banana : bananas = snake : snakes -> ['snake', 'snakes', 'rattlesnakes', 'four-eyed', 'nonvenomous']
banana : bananas = woman : women -> ['woman', 'man', 'divorcee', 'girl', 'englishwoman']
bird : birds = bottle : bottles -> ['bottle', 'bottles', 'corks', 'cans', 'sachets']
bird : birds = building : buildings -> ['building', 'buildings', 'houses', 'facades', 'faades']
bird : birds = car : cars -> ['cars', 'car', 'vehicles', 'mercedes-benz', 'motorcycles']
bird : birds = cat : cats -> ['cat', 'cats', 'rabbits', 'dogs', 'ferrets']
bird : birds = child : children -> ['child', 'children', 'infants', 'molesters', 'grandchild']
bird : birds = cloud : clouds -> ['cloud', 'clouds', 'cumulonimbus', 'stratocumulus', 'altocumulus']
bird : birds = color : colors -> ['color', 'colour', 'tints', 'colorations', 'colors']
bird : birds = computer : computers -> ['computer', 'computers', 'mainframe', 'microcomputers', 'peripherals']
bird : birds = cow : cows -> ['cow', 'cows', 'goats', 'donkeys', 'chickens']
bird : birds = dog : dogs -> ['dogs', 'dog', 'cats', 'rabbits', 'animals']
bird : birds = dollar : dollars -> ['dollar', 'dollars', 'rupee', 'pesos', 'banknotes']
bird : birds = donkey : donkeys -> ['donkey', 'donkeys', 'rabbits', 'birds', 'camels']
bird : birds = dream : dreams -> ['dream', 'dreams', 'visions', 'terrors', 'dreaming']
bird : birds = eagle : eagles -> ['eagle', 'otters', 'foxes', 'birds', 'haliaeetus']
bird : birds = elephant : elephants -> ['elephant', 'elephants', 'giraffes', 'rhinoceroses', 'antelopes']
bird : birds = eye : eyes -> ['eye', 'eyelids', 'eyes', 'eyelid', 'lesions']
bird : birds = finger : fingers -> ['finger', 'fingers', 'phalanges', 'metacarpals', 'toes']
bird : birds = goat : goats -> ['goat', 'goats', 'cows', 'zebu', 'donkeys']
bird : birds = hand : hands -> ['hand', 'fingers', 'extremities', 'forearm', 'fingertips']
bird : birds = horse : horses -> ['horse', 'horses', 'camels', 'donkeys', 'ponies']
bird : birds = lion : lions -> ['lion', 'elephants', 'giraffes', 'ostriches', 'hyenas']
bird : birds = machine : machines -> ['machine', 'machines', 'lathes', 'guns', 'pistols']
