algeria : dinar = angola : kwanza -> ['dinar', 'lira', 'rupiah', 'peso', 'forint']
algeria : dinar = argentina : peso -> ['dinar', 'peso', 'argentina', 'centavo', 'lira']
algeria : dinar = armenia : dram -> ['dinar', 'armenia', 'ruble', 'nakhichevan', 'bagratuni']
algeria : dinar = brazil : real -> ['dinar', 'peso', 'lira', 'brazil', 'koruna']
algeria : dinar = bulgaria : lev -> ['dinar', 'koruna', 'bulgaria', 'ruble', 'serbia']
algeria : dinar = cambodia : riel -> ['dinar', 'renminbi', 'cambodia', 'rupiah', 'forint']
algeria : dinar = canada : dollar -> ['canada', 'dinar', 'dollar', 'renminbi', 'one-dollar']
algeria : dinar = croatia : kuna -> ['dinar', 'croatia', 'serbia', 'koruna', 'herzeg-bosnia']
algeria : dinar = denmark : krone -> ['dinar', 'denmark', 'koruna', 'valdemar', 'sweden']
algeria : dinar = europe : euro -> ['dinar', 'europe', 'ruble', 'forint', 'banknote']
algeria : dinar = hungary : forint -> ['dinar', 'hungary', 'koruna', 'forint', 'pozsony']
algeria : dinar = india : rupee -> ['dinar', 'india', 'rupee', 'baroda', 'kapurthala']
algeria : dinar = iran : rial -> ['dinar', 'iran', 'ruble', 'dirham', 'markazi']
algeria : dinar = japan : yen -> ['japan', 'dinar', 'renminbi', 'tky', 'banknote']
algeria : dinar = korea : won -> ['dinar', 'korea', 'renminbi', 'banknote', 'banknotes']
algeria : dinar = lithuania : litas -> ['dinar', 'lithuania', 'ruble', 'koruna', 'litas']
algeria : dinar = malaysia : ringgit -> ['dinar', 'malaysia', 'ringgit', 'tinggi', 'negara']
algeria : dinar = mexico : peso -> ['dinar', 'mexico', 'peso', 'pesos', 'kuna']
algeria : dinar = nigeria : naira -> ['dinar', 'dirham', 'rupiah', 'nigeria', 'naira']
algeria : dinar = romania : leu -> ['dinar', 'ruble', 'romania', 'koruna', 'forint']
algeria : dinar = russia : ruble -> ['ruble', 'dinar', 'russia', 'tsars', 'tsardom']
algeria : dinar = sweden : krona -> ['dinar', 'sweden', 'koruna', 'kroner', 'blekinge']
algeria : dinar = thailand : baht -> ['dinar', 'ringgit', 'renminbi', 'thailand', 'rupiah']
algeria : dinar = usa : dollar -> ['usa', 'dinar', 'ruble', 'sterling', 'banknote']
algeria : dinar = vietnam : dong -> ['dinar', 'vietnam', 'renminbi', 'banknote', 'rupiah']
angola : kwanza = argentina : peso -> ['kwanza', 'neuqun', 'argentina', 'chubut', 'ro']
angola : kwanza = armenia : dram -> ['armenia', 'kotayk', 'kwanza', 'zangezur', 'syunik']
