abuja : nigeria = accra : ghana -> ['accra', 'nigeria', 'ghana', 'cameroon', 'mali']
abuja : nigeria = algiers : algeria -> ['algiers', 'algeria', 'morocco', 'tunisia', 'mauritania']
abuja : nigeria = amman : jordan -> ['amman', 'nigeria', 'egypt', 'sudan', 'jordan']
abuja : nigeria = ankara : turkey -> ['ankara', 'turkey', 'adana', 'aydn', 'hatay']
abuja : nigeria = antananarivo : madagascar -> ['antananarivo', 'nigeria', 'madagascar', 'cameroon', 'mali']
abuja : nigeria = apia : samoa -> ['apia', 'samoa', 'tonga', 'fiji', 'vanuatu']
abuja : nigeria = ashgabat : turkmenistan -> ['ashgabat', 'tajikistan', 'turkmenistan', 'uzbekistan', 'kazakhstan']
abuja : nigeria = asmara : eritrea -> ['asmara', 'eritrea', 'nigeria', 'ethiopia', 'sudan']
abuja : nigeria = astana : kazakhstan -> ['astana', 'kazakhstan', 'uzbekistan', 'turkmenistan', 'kyrgyzstan']
abuja : nigeria = athens : greece -> ['athens', 'greece', 'crete', 'thessaly', 'messenia']
abuja : nigeria = baghdad : iraq -> ['baghdad', 'iraq', 'syria', 'mosul', 'yemen']
abuja : nigeria = baku : azerbaijan -> ['baku', 'azerbaijan', 'turkmenistan', 'uzbekistan', 'kazakhstan']
abuja : nigeria = bamako : mali -> ['bamako', 'mali', 'nigeria', 'senegal', 'cameroon']
abuja : nigeria = bangkok : thailand -> ['thailand', 'bangkok', 'cambodia', 'myanmar', 'singapore']
abuja : nigeria = banjul : gambia -> ['banjul', 'nigeria', 'gambia', 'senegal', 'guinea-bissau']
abuja : nigeria = beijing : china -> ['beijing', 'china', 'taiwan', 'mongolia', 'guangdong']
abuja : nigeria = beirut : lebanon -> ['beirut', 'lebanon', 'syria', 'libya', 'yemen']
abuja : nigeria = belgrade : serbia -> ['belgrade', 'serbia', 'croatia', 'montenegro', 'vojvodina']
abuja : nigeria = belmopan : belize -> ['belmopan', 'belize', 'nigeria', 'guatemala', 'honduras']
abuja : nigeria = berlin : germany -> ['berlin', 'germany', 'hamburg', 'gttingen', 'leipzig']
abuja : nigeria = bern : switzerland -> ['bern', 'aargau', 'thurgau', 'basel-country', 'solothurn']
