boy : girl = brother : sister -> ['brother', 'half-brother', 'sister', 'cousin', 'brother-in-law']
boy : girl = brothers : sisters -> ['brothers', 'sisters', 'sons', 'daughters', 'siblings']
boy : girl = dad : mom -> ['dad', 'mom', 'mum', 'girlfriend', 'fiance']
boy : girl = father : mother -> ['father', 'mother', 'grandmother', 'stepfather', 'parents']
boy : girl = grandfather : grandmother -> ['grandfather', 'grandmother', 'great-grandfather', 'mother', 'aunt']
boy : girl = grandpa : grandma -> ['grandpa', 'grandma', 'annabelle', 'granny', 'maggie']
boy : girl = grandson : granddaughter -> ['grandson', 'granddaughter', 'daughter', 'niece', 'great-grandson']
boy : girl = groom : bride -> ['groom', 'bride', 'bridegroom', 'wedding', 'hippodamia']
boy : girl = he : she -> ['he', 'she', 'her', 'marji', 'jae-min']
boy : girl = his : her -> ['his', 'her', 'their', 'tokiko', 'step-sister']
boy : girl = husband : wife -> ['husband', 'fianc', 'ex-husband', 'mother-in-law', 'sister-in-law']
boy : girl = king : queen -> ['king', 'queen', 'monarch', 'king-emperor', 'princess']
boy : girl = man : woman -> ['man', 'woman', 'girl', 'stranger', 'person']
boy : girl = nephew : niece -> ['nephew', 'niece', 'cousin', 'brother-in-law', 'son-in-law']
boy : girl = policeman : policewoman -> ['policeman', 'policewoman', 'prostitute', 'woman', 'housewife']
boy : girl = prince : princess -> ['prince', 'princess', 'hohenlohe-langenburg', 'vadhana', 'bourbon-parma']
boy : girl = son : daughter -> ['son', 'daughter', 'granddaughter', 'niece', 'grandson']
boy : girl = sons : daughters -> ['sons', 'daughters', 'granddaughters', 'grandsons', 'half-sisters']
boy : girl = stepbrother : stepsister -> ['stepbrother', 'stepsister', 'step-sister', 'stepdaughter', 'niece']
boy : girl = stepfather : stepmother -> ['stepfather', 'mother', 'husband', 'stepmother', 'stepdaughter']
boy : girl = stepson : stepdaughter -> ['stepson', 'stepdaughter', 'niece', 'sister-in-law', 'daughter-in-law']
boy : girl = uncle : aunt -> ['uncle', 'aunt', 'grandmother', 'niece', 'grandfather']
brother : sister = brothers : sisters -> ['sisters', 'brothers', 'sister', 'daughters', 'half-sisters']
brother : sister = dad : mom -> ['dad', 'mom', 'mum', 'sister', 'girlfriend']
brother : sister = father : mother -> ['mother', 'sister', 'father', 'grandmother', 'mother-in-law']
brother : sister = grandfather : grandmother -> ['grandmother', 'sister', 'great-grandmother', 'mother', 'aunt']
brother : sister = grandpa : grandma -> ['grandpa', 'grandma', 'polly', 'granny', 'babysits']
brother : sister = grandson : granddaughter -> ['granddaughter', 'niece', 'daughter', 'great-granddaughter', 'sister']
brother : sister = groom : bride -> ['groom', 'bridegroom', 'maid', 'bride', 'governess']
brother : sister = he : she -> ['she', 'he', 'sister', 'cammie', 'her']
brother : sister = his : her -> ['his', 'her', 'their', 'elanor', 'sister']
brother : sister = husband : wife -> ['husband', 'sister', 'mother-in-law', 'fianc', 'sister-in-law']
brother : sister = king : queen -> ['queen', 'king', 'princess', 'berengaria', 'vadhana']
brother : sister = man : woman -> ['man', 'woman', 'girl', 'maid', 'prostitute']
brother : sister = nephew : niece -> ['niece', 'sister', 'sister-in-law', 'granddaughter', 'half-sister']
brother : sister = policeman : policewoman -> ['policeman', 'policewoman', 'prostitute', 'waitress', 'housewife']
brother : sister = prince : princess -> ['princess', 'prince', 'hohenlohe-langenburg', 'ludovika', 'vadhana']
brother : sister = son : daughter -> ['daughter', 'granddaughter', 'sister', 'son', 'niece']
brother : sister = sons : daughters -> ['daughters', 'sons', 'granddaughters', 'sister', 'half-sisters']
brother : sister = stepbrother : stepsister -> ['sister', 'stepbrother', 'stepsister', 'stepmother', 'half-sister']
brother : sister = stepfather : stepmother -> ['stepfather', 'sister', 'stepmother', 'mother-in-law', 'mother']
brother : sister = stepson : stepdaughter -> ['sister', 'stepson', 'stepdaughter', 'niece', 'sister-in-law']
brother : sister = uncle : aunt -> ['sister', 'aunt', 'niece', 'grandmother', 'sister-in-law']
brother : sister = boy : girl -> ['boy', 'girl', 'schoolgirl', 'spunky', 'tomboy']
brothers : sisters = dad : mom -> ['dad', 'mum', 'mom', 'mother', 'aunt']
brothers : sisters = father : mother -> ['mother', 'father', 'grandmother', 'parents', 'stepmother']
brothers : sisters = grandfather : grandmother -> ['grandmother', 'grandfather', 'mother', 'great-grandmother', 'great-aunt']
brothers : sisters = grandpa : grandma -> ['grandpa', 'grandma', 'granny', 'elmyra', 'polly']
brothers : sisters = grandson : granddaughter -> ['granddaughter', 'niece', 'grandson', 'daughter', 'great-granddaughter']
brothers : sisters = groom : bride -> ['groom', 'bridegroom', 'bride', 'governess', 'bride-to-be']
brothers : sisters = he : she -> ['he', 'she', 'marji', 'her', 'girlhood']
brothers : sisters = his : her -> ['his', 'her', 'branwell', 'hers', 'fortunata']
brothers : sisters = husband : wife -> ['husband', 'mother-in-law', 'fianc', 'stepmother', 'mother']
brothers : sisters = king : queen -> ['king', 'queen', 'king-emperor', 'regnant', 'monarch']
brothers : sisters = man : woman -> ['man', 'woman', 'girl', 'maid', 'schoolgirl']
brothers : sisters = nephew : niece -> ['niece', 'granddaughter', 'sister-in-law', 'nephew', 'half-sister']
brothers : sisters = policeman : policewoman -> ['policeman', 'policewoman', 'prostitute', 'housewife', 'schoolgirl']
brothers : sisters = prince : princess -> ['prince', 'princess', 'hohenlohe-langenburg', 'duchess', 'bourbon-parma']
brothers : sisters = son : daughter -> ['daughter', 'son', 'granddaughter', 'niece', 'half-sister']
brothers : sisters = sons : daughters -> ['daughters', 'sisters', 'sons', 'granddaughters', 'half-sisters']
brothers : sisters = stepbrother : stepsister -> ['stepbrother', 'stepmother', 'half-sister', 'stepsister', 'niece']
brothers : sisters = stepfather : stepmother -> ['stepfather', 'mother', 'stepmother', 'grandmother', 'mother-in-law']
brothers : sisters = stepson : stepdaughter -> ['stepson', 'niece', 'stepdaughter', 'half-sister', 'daughter-in-law']
brothers : sisters = uncle : aunt -> ['grandmother', 'aunt', 'uncle', 'niece', 'mother']
brothers : sisters = boy : girl -> ['boy', 'girl', 'schoolgirl', 'twelve-year-old', 'redheaded']
brothers : sisters = brother : sister -> ['sister', 'brother', 'sisters', 'half-sister', 'niece']
dad : mom = father : mother -> ['father', 'mother', 'stepfather', 'grandmother', 'parents']
dad : mom = grandfather : grandmother -> ['grandfather', 'grandmother', 'great-grandfather', 'grandparents', 'uncle']
dad : mom = grandpa : grandma -> ['grandpa', 'mom', 'grandma', 'granny', 'sweetie']
dad : mom = grandson : granddaughter -> ['grandson', 'granddaughter', 'great-grandson', 'nephew', 'son-in-law']
dad : mom = groom : bride -> ['groom', 'bride', 'bridegroom', 'governess', 'wedding']
dad : mom = he : she -> ['he', 'she', 'mom', 'dong-joo', 'they']
dad : mom = his : her -> ['his', 'her', 'their', 'pyrrha', 'madri']
dad : mom = husband : wife -> ['husband', 'mother-in-law', 'stepmother', 'sister-in-law', 'fianc']
dad : mom = king : queen -> ['king', 'queen', 'vajiravudh', 'mongkut', 'prajadhipok']
dad : mom = man : woman -> ['man', 'woman', 'girl', 'boy', 'mom']
