albania : albanian = argentina : argentinean -> ['argentine', 'argentina', 'argentinian', 'uruguayan', 'ecuadorian']
albania : albanian = australia : australian -> ['australian', 'australia', 'queensland', 'tasmania', 'nsw']
albania : albanian = austria : austrian -> ['austrian', 'austria', 'graz', 'albanian', 'styria']
albania : albanian = belarus : belorussian -> ['belarusian', 'ukrainian', 'belarus', 'lithuanian', 'latvian']
albania : albanian = brazil : brazilian -> ['brazil', 'brazilian', 'portuguese', 'pernambuco', 'angolan']
albania : albanian = bulgaria : bulgarian -> ['albanian', 'bulgarian', 'serbian', 'macedonian', 'croatian']
albania : albanian = cambodia : cambodian -> ['cambodian', 'cambodia', 'laotian', 'indonesian', 'burmese']
albania : albanian = chile : chilean -> ['chile', 'peruvian', 'chilean', 'argentine', 'ecuadorian']
albania : albanian = china : chinese -> ['chinese', 'china', 'fujian', 'taiwanese', 'tianjin']
albania : albanian = colombia : colombian -> ['colombian', 'colombia', 'ecuadorian', 'peruvian', 'bolivian']
albania : albanian = croatia : croatian -> ['croatian', 'albanian', 'serbian', 'montenegrin', 'bosnian']
albania : albanian = denmark : danish -> ['denmark', 'danish', 'icelandic', 'swedish', 'faroese']
albania : albanian = egypt : egyptian -> ['egyptian', 'egypt', 'moroccan', 'algerian', 'libyan']
albania : albanian = england : english -> ['england', 'welsh', 'cornish', 'lancashire', 'scottish']
albania : albanian = france : french -> ['france', 'algerian', 'nmes', 'french', 'bordeaux']
albania : albanian = germany : german -> ['germany', 'german', 'hamburg', 'erfurt', 'braunschweig']
albania : albanian = greece : greek -> ['albanian', 'greek', 'greece', 'macedonian', 'cypriot']
albania : albanian = iceland : icelandic -> ['icelandic', 'iceland', 'faroese', 'danish', 'estonian']
albania : albanian = india : indian -> ['india', 'gujarat', 'indian', 'maharashtra', 'kerala']
albania : albanian = ireland : irish -> ['irish', 'ireland', 'scottish', 'welsh', 'gaelic']
albania : albanian = israel : israeli -> ['israeli', 'israel', 'palestinian', 'eretz', 'menashe']
albania : albanian = italy : italian -> ['italian', 'italy', 'bergamo', 'livorno', 'treviso']
albania : albanian = japan : japanese -> ['japanese', 'japan', 'tokyo', 'nagoya', 'sendai']
albania : albanian = korea : korean -> ['korean', 'korea', 'vietnamese', 'koreans', 'chinese']
albania : albanian = macedonia : macedonian -> ['albanian', 'macedonian', 'montenegrin', 'serbian', 'macedonia']
albania : albanian = malta : maltese -> ['malta', 'maltese', 'albanian', 'valletta', 'icelandic']
albania : albanian = mexico : mexican -> ['mexico', 'mexican', 'michoacn', 'oaxaca', 'sinaloa']
albania : albanian = moldova : moldovan -> ['albanian', 'moldovan', 'romanian', 'belarusian', 'montenegrin']
albania : albanian = netherlands : dutch -> ['netherlands', 'dutch', 'danish', 'belgian', 'flemish']
albania : albanian = norway : norwegian -> ['norwegian', 'icelandic', 'danish', 'norway', 'swedish']
albania : albanian = peru : peruvian -> ['peru', 'peruvian', 'ecuadorian', 'bolivian', 'argentine']
albania : albanian = poland : polish -> ['poland', 'polish', 'silesian', 'lithuanian', 'albanian']
albania : albanian = portugal : portuguese -> ['portuguese', 'portugal', 'angolan', 'spanish', 'aragonese']
albania : albanian = russia : russian -> ['russian', 'russia', 'ukrainian', 'kazakh', 'belarusian']
albania : albanian = slovakia : slovakian -> ['slovak', 'slovakia', 'slovakian', 'albanian', 'czech']
albania : albanian = spain : spanish -> ['spain', 'spanish', 'castilian', 'aragonese', 'catalan']
albania : albanian = sweden : swedish -> ['swedish', 'sweden', 'danish', 'icelandic', 'finnish']
albania : albanian = switzerland : swiss -> ['switzerland', 'zrich', 'zurich', 'swiss', 'solothurn']
albania : albanian = thailand : thai -> ['thailand', 'thai', 'indonesian', 'malaysian', 'cambodian']
argentina : argentinean = australia : australian -> ['australian', 'australia', 'queensland', 'argentinean', 'nsw']
argentina : argentinean = austria : austrian -> ['austrian', 'austria', 'austrian-hungarian', 'argentinean', 'austrian-german']
argentina : argentinean = belarus : belorussian -> ['belarus', 'belarussian', 'latvian', 'belarusian', 'argentinean']
argentina : argentinean = brazil : brazilian -> ['argentinean', 'brazilian', 'mrio', 'couto', 'gonalves']
argentina : argentinean = bulgaria : bulgarian -> ['bulgarian', 'serbian', 'argentinean', 'bulgaria', 'croatian']
argentina : argentinean = cambodia : cambodian -> ['cambodian', 'cambodia', 'indonesian', 'laotian', 'khmer']
argentina : argentinean = chile : chilean -> ['argentinean', 'chilean', 'argentinian', 'peruvian', 'colombian']
argentina : argentinean = china : chinese -> ['chinese', 'china', 'taiwanese', 'argentinean', 'tianjin']
argentina : argentinean = colombia : colombian -> ['argentinean', 'colombian', 'venezuelan', 'ecuadorian', 'argentinian']
argentina : argentinean = croatia : croatian -> ['croatian', 'serbian', 'montenegrin', 'croatia', 'yugoslavian']
argentina : argentinean = denmark : danish -> ['danish', 'denmark', 'birger', 'harald', 'swedish']
argentina : argentinean = egypt : egyptian -> ['egyptian', 'egypt', 'argentinean', 'tunisian', 'moroccan']
argentina : argentinean = england : english -> ['england', 'argentinean', 'bromsgrove', 'yorkshire', 'heckmondwike']
argentina : argentinean = france : french -> ['france', 'argentinean', 'italian-french', 'french', 'thierry']
argentina : argentinean = germany : german -> ['germany', 'austrian-german', 'german', 'argentinean', 'austrian']
argentina : argentinean = greece : greek -> ['greece', 'nikos', 'argentinean', 'pavlos', 'panagiotis']
argentina : argentinean = iceland : icelandic -> ['icelandic', 'iceland', 'argentinean', 'faroese', 'danish']
argentina : argentinean = india : indian -> ['india', 'indian', 'kerala', 'gujarat', 'odisha']
argentina : argentinean = ireland : irish -> ['ireland', 'irish', 'argentinean', 'derry', 'irish-canadian']
argentina : argentinean = israel : israeli -> ['israeli', 'israel', 'yonatan', 'yuval', 'moshe']
argentina : argentinean = italy : italian -> ['italian', 'argentinean', 'italy', 'massimo', 'antonello']
argentina : argentinean = japan : japanese -> ['japanese', 'japan', 'hisashi', 'kki', 'shunsuke']
argentina : argentinean = korea : korean -> ['korean', 'korea', 'argentinean', 'vietnamese', 'taiwanese']
argentina : argentinean = macedonia : macedonian -> ['macedonia', 'macedonian', 'serbian', 'montenegrin', 'albanian']
