athens : greece = baghdad : iraq -> ['baghdad', 'syria', 'iraq', 'egypt', 'mosul']
athens : greece = bangkok : thailand -> ['thailand', 'bangkok', 'cambodia', 'singapore', 'laos']
athens : greece = beijing : china -> ['china', 'beijing', 'taiwan', 'mongolia', 'guangdong']
athens : greece = berlin : germany -> ['germany', 'berlin', 'austria', 'hamburg', 'dsseldorf']
athens : greece = bern : switzerland -> ['bern', 'switzerland', 'solothurn', 'vaud', 'thurgau']
athens : greece = cairo : egypt -> ['egypt', 'cairo', 'syria', 'libya', 'tunisia']
athens : greece = canberra : australia -> ['canberra', 'australia', 'queensland', 'tasmania', 'brisbane']
athens : greece = hanoi : vietnam -> ['hanoi', 'vietnam', 'cambodia', 'laos', 'saigon']
athens : greece = havana : cuba -> ['havana', 'cuba', 'venezuela', 'argentina', 'spain']
athens : greece = helsinki : finland -> ['finland', 'helsinki', 'sweden', 'tampere', 'turku']
athens : greece = islamabad : pakistan -> ['islamabad', 'pakistan', 'karachi', 'peshawar', 'lahore']
athens : greece = kabul : afghanistan -> ['kabul', 'afghanistan', 'pakistan', 'kunduz', 'jalalabad']
athens : greece = london : england -> ['london', 'england', 'stepney', 'lewisham', 'islington']
athens : greece = madrid : spain -> ['madrid', 'spain', 'murcia', 'portugal', 'valencia']
athens : greece = moscow : russia -> ['russia', 'moscow', 'ukraine', 'ussr', 'belarus']
athens : greece = oslo : norway -> ['oslo', 'norway', 'sweden', 'denmark', 'trondheim']
athens : greece = ottawa : canada -> ['ottawa', 'canada', 'quebec', 'ontario', 'brantford']
athens : greece = paris : france -> ['paris', 'france', 'belgium', 'luxembourg', 'switzerland']
athens : greece = rome : italy -> ['italy', 'rome', 'greece', 'sardinia', 'sicily']
athens : greece = stockholm : sweden -> ['sweden', 'stockholm', 'denmark', 'norway', 'finland']
athens : greece = tehran : iran -> ['tehran', 'iran', 'isfahan', 'mashhad', 'syria']
athens : greece = tokyo : japan -> ['tokyo', 'japan', 'osaka', 'hokkaid', 'nagoya']
baghdad : iraq = bangkok : thailand -> ['bangkok', 'thailand', 'cambodia', 'laos', 'vietnam']
baghdad : iraq = beijing : china -> ['beijing', 'china', 'prc', 'taiwan', 'korea']
baghdad : iraq = berlin : germany -> ['berlin', 'germany', 'munich', 'hamburg', 'bonn']
baghdad : iraq = bern : switzerland -> ['bern', 'fribourg', 'switzerland', 'vaud', 'glarus']
baghdad : iraq = cairo : egypt -> ['iraq', 'cairo', 'libya', 'egypt', 'lebanon']
baghdad : iraq = canberra : australia -> ['canberra', 'australia', 'queensland', 'brisbane', 'toowoomba']
baghdad : iraq = hanoi : vietnam -> ['hanoi', 'vietnam', 'cambodia', 'laos', 'saigon']
baghdad : iraq = havana : cuba -> ['havana', 'cuba', 'venezuela', 'nicaragua', 'colombia']
baghdad : iraq = helsinki : finland -> ['helsinki', 'finland', 'tampere', 'turku', 'vantaa']
baghdad : iraq = islamabad : pakistan -> ['islamabad', 'pakistan', 'afghanistan', 'iraq', 'bangladesh']
baghdad : iraq = kabul : afghanistan -> ['afghanistan', 'iraq', 'kabul', 'taliban', 'pakistan']
baghdad : iraq = london : england -> ['london', 'croydon', 'england', 'islington', 'hackney']
baghdad : iraq = madrid : spain -> ['madrid', 'spain', 'sevilla', 'barcelona', 'castilla']
baghdad : iraq = moscow : russia -> ['moscow', 'ussr', 'russia', 'belarus', 'ukraine']
baghdad : iraq = oslo : norway -> ['oslo', 'norway', 'trondheim', 'stavanger', 'sweden']
baghdad : iraq = ottawa : canada -> ['ottawa', 'canada', 'ontario', 'quebec', 'brantford']
baghdad : iraq = paris : france -> ['paris', 'france', 'archologique', 'contemporaine', 'librairie']
baghdad : iraq = rome : italy -> ['rome', 'italy', 'greece', 'iraq', 'sulla']
baghdad : iraq = stockholm : sweden -> ['stockholm', 'sweden', 'norway', 'denmark', 'finland']
baghdad : iraq = tehran : iran -> ['iraq', 'tehran', 'iran', 'afghanistan', 'turkmenistan']
baghdad : iraq = tokyo : japan -> ['tokyo', 'japan', 'osaka', 'nagoya', 'sapporo']
baghdad : iraq = athens : greece -> ['athens', 'greece', 'macedonia', 'cyprus', 'albania']
bangkok : thailand = beijing : china -> ['beijing', 'china', 'taiwan', 'guangdong', 'yunnan']
bangkok : thailand = berlin : germany -> ['berlin', 'germany', 'leipzig', 'hamburg', 'gttingen']
bangkok : thailand = bern : switzerland -> ['bern', 'thurgau', 'switzerland', 'glarus', 'graubnden']
bangkok : thailand = cairo : egypt -> ['cairo', 'egypt', 'libya', 'syria', 'tunisia']
bangkok : thailand = canberra : australia -> ['canberra', 'australia', 'queensland', 'tasmania', 'brisbane']
bangkok : thailand = hanoi : vietnam -> ['hanoi', 'vietnam', 'thailand', 'laos', 'cambodia']
bangkok : thailand = havana : cuba -> ['havana', 'cuba', 'venezuela', 'ecuador', 'peru']
bangkok : thailand = helsinki : finland -> ['helsinki', 'finland', 'tampere', 'kuopio', 'turku']
bangkok : thailand = islamabad : pakistan -> ['islamabad', 'pakistan', 'balochistan', 'sindh', 'tajikistan']
