boy : girl = brother : sister -> ['sister', 'brother-in-law', 'stepbrother', 'sister-in-law', 'stepson']
boy : girl = brothers : sisters -> ['sisters', 'siblings', 'stepsisters', 'stepbrothers', 'aunts']
boy : girl = dad : mom -> ['mom', 'mum', 'grandma', 'grandmother', 'mother-in-law']
boy : girl = father : mother -> ['mother', 'grandfather', 'grandmother', 'stepfather', 'father-in-law']
boy : girl = grandfather : grandmother -> ['grandmother', 'great-grandmother', 'aunt', 'great-grandfather', 'mother']
boy : girl = grandpa : grandma -> ['grandma', 'queenie', 'auntie', 'sharona', 'grandad']
boy : girl = grandson : granddaughter -> ['granddaughter', 'great-grandson', 'son-in-law', 'great-granddaughter', 'daughter']
boy : girl = groom : bride -> ['bridegroom', 'grooms', 'bride', 'bridesmaid', 'bride-to-be']
boy : girl = he : she -> ['she', 'who', 'they', 'censei', 'kagenobu']
boy : girl = his : her -> ['their', 'my', 'its', 'your', 'whose']
boy : girl = husband : wife -> ['boyfriend', 'fiance', 'fiancé', 'mother-in-law', 'sister-in-law']
boy : girl = king : queen -> ['queen', 'monarch', 'norodom', 'princess', 'songtsän']
boy : girl = man : woman -> ['woman', 'seductress', 'loner', 'shepherdess', 'divorcee']
boy : girl = nephew : niece -> ['niece', 'half-sister', 'half-brother', 'great-nephew', 'sister-in-law']
boy : girl = policeman : policewoman -> ['policewoman', 'patrolman', 'shopkeeper', 'policemen', 'prostitute']
boy : girl = prince : princess -> ['princess', 'duchess', 'archduke', 'margravine', 'landgravine']
boy : girl = son : daughter -> ['daughter', 'granddaughter', 'grandson', 'stepdaughter', 'great-granddaughter']
boy : girl = sons : daughters -> ['daughters', 'granddaughters', 'grandsons', 'nieces', 'stepsons']
boy : girl = stepbrother : stepsister -> ['stepsister', 'sister-in-law', 'great-aunt', 'daughter-in-law', 'fiance']
boy : girl = stepfather : stepmother -> ['stepmother', 'mother-in-law', 'fiance', 'sister-in-law', 'grandmother']
