banana : bananas = bird : birds -> ['birds', 'butterflies', 'turkeys', 'pigeons', 'rabbits']
banana : bananas = bottle : bottles -> ['bottles', 'vials', 'kegs', 'cans', 'tins']
banana : bananas = building : buildings -> ['buildings', 'rowhouses', 'high-rises', 'edifice', 'almshouses']
banana : bananas = car : cars -> ['cars', 'motorcycles', 'truck', 'suv', 'lorries']
banana : bananas = cat : cats -> ['cats', 'rabbit', 'rabbits', 'dogs', 'ferrets']
banana : bananas = child : children -> ['children', 'babies', 'daughters', 'kittens', 'pups']
banana : bananas = cloud : clouds -> ['clouds', 'icebergs', 'glare', 'mist', 'snowdrifts']
banana : bananas = color : colors -> ['colour', 'colors', 'colours', 'coloration', 'colouration']
banana : bananas = computer : computers -> ['computers', 'microcomputers', 'ipods', 'macintoshes', 'laptops']
banana : bananas = cow : cows -> ['cows', 'goats', 'rabbits', 'pigs', 'chickens']
banana : bananas = dog : dogs -> ['dogs', 'puppies', 'rabbits', 'ferrets', 'ponies']
banana : bananas = dollar : dollars -> ['dollars', 'pennies', 'rupees', 'rupee', 'pesos']
banana : bananas = donkey : donkeys -> ['donkeys', 'goats', 'rabbits', 'camels', 'mules']
banana : bananas = dream : dreams -> ['dreams', 'fantasies', 'daydreams', 'visions', 'fairytales']
banana : bananas = eagle : eagles -> ['minks', 'bison', 'pigeons', 'kestrel', 'lion']
banana : bananas = elephant : elephants -> ['elephants', 'donkeys', 'camels', 'turkeys', 'ponies']
banana : bananas = eye : eyes -> ['eyes', 'lungs', 'cadavers', 'corneas', 'eyeballs']
banana : bananas = finger : fingers -> ['fingers', 'toes', 'forefinger', 'elbows', 'hips']
banana : bananas = goat : goats -> ['goats', 'yaks', 'turkeys', 'donkeys', 'cows']
banana : bananas = hand : hands -> ['hands', 'fingertips', 'fingers', 'wrists', 'elbows']
banana : bananas = horse : horses -> ['horses', 'mules', 'thoroughbreds', 'cows', 'ponies']
banana : bananas = lion : lions -> ['boar', 'elephants', 'gazelles', 'goats', 'beasts']
banana : bananas = machine : machines -> ['machines', 'lathes', 'contraptions', 'phonographs', 'microchips']
banana : bananas = mango : mangoes -> ['mangoes', 'yams', 'strawberries', 'plums', 'blueberries']
banana : bananas = man : men -> ['woman', 'men', 'drunks', 'negroes', 'savages']
banana : bananas = melon : melons -> ['plums', 'strawberries', 'cherries', 'raspberries', 'melons']
banana : bananas = monkey : monkeys -> ['monkeys', 'rabbits', 'rabbit', 'hamsters', 'gerbils']
banana : bananas = mouse : mice -> ['mice', 'rabbits', 'rats', 'rabbit', 'ferrets']
banana : bananas = onion : onions -> ['onions', 'plums', 'potatoes', 'cherries', 'apricots']
banana : bananas = pear : pears -> ['yams', 'plums', 'blueberries', 'figs', 'pineapples']
banana : bananas = pig : pigs -> ['pigs', 'rabbits', 'rabbit', 'turkeys', 'goat']
banana : bananas = pineapple : pineapples -> ['strawberries', 'watermelons', 'mangoes', 'pineapples', 'plums']
banana : bananas = rat : rats -> ['rats', 'rabbits', 'ferrets', 'rabbit', 'gerbils']
banana : bananas = road : roads -> ['roads', 'rd', 'highway', 'boulevard', 'parkway']
banana : bananas = snake : snakes -> ['snakes', 'ferrets', 'toads', 'alligators', 'rattlesnakes']
banana : bananas = woman : women -> ['girl', 'man', 'lesbians', 'women', 'negroes']
bird : birds = bottle : bottles -> ['bottles', 'casks', 'kegs', 'vials', 'cans']
bird : birds = building : buildings -> ['buildings', 'rowhouses', 'high-rises', 'shophouses', 'storerooms']
bird : birds = car : cars -> ['cars', 'vehicles', 'lorries', 'automobiles', 'motorcycles']
bird : birds = cat : cats -> ['cats', 'rabbits', 'animals', 'ferrets', 'chimps']
bird : birds = child : children -> ['children', 'babies', 'toddlers', 'infants', 'newborns']
bird : birds = cloud : clouds -> ['clouds', 'aerosols', 'icebergs', 'auroras', 'atmospheres']
bird : birds = color : colors -> ['colour', 'colors', 'colours', 'tints', 'coloration']
bird : birds = computer : computers -> ['computers', 'microcomputers', 'mainframes', 'macintoshes', 'motherboards']
