albania : albanian = argentina : argentinean -> ['ecuadorian', 'luxembourgish', 'algerian', 'slovakian', 'slovenian']
albania : albanian = australia : australian -> ['maldivian', 'luxembourgish', 'slovakian', 'grenadian', 'latvian']
albania : albanian = austria : austrian -> ['romanian', 'hungarian', 'luxembourgish', 'croatian', 'bulgarian']
albania : albanian = belarus : belorussian -> ['belarusian', 'croatian', 'ukrainian', 'latvian', 'luxembourgish']
albania : albanian = brazil : brazilian -> ['luxembourgish', 'croatian', 'faroese', 'indonesian', 'slovenian']
albania : albanian = bulgaria : bulgarian -> ['ukrainian', 'croatian', 'lithuanian', 'belarusian', 'romanian']
albania : albanian = cambodia : cambodian -> ['laotian', 'luxembourgish', 'asturian', 'indonesian', 'kashubian']
albania : albanian = chile : chilean -> ['ecuadorian', 'algerian', 'peruvian', 'tunisian', 'bolivian']
albania : albanian = china : chinese -> ['cambodian', 'sardinian', 'somali', 'indonesian', 'maldivian']
albania : albanian = colombia : colombian -> ['ecuadorian', 'bolivian', 'indonesian', 'algerian', 'tunisian']
albania : albanian = croatia : croatian -> ['croatian', 'lithuanian', 'latvian', 'ukrainian', 'romanian']
albania : albanian = denmark : danish -> ['luxembourgish', 'croatian', 'romanian', 'hungarian', 'danish']
albania : albanian = egypt : egyptian -> ['lithuanian', 'luxembourgish', 'galician', 'asturian', 'romanian']
albania : albanian = england : english -> ['romanian', 'kashubian', 'luxembourgish', 'croatian', 'calabrian']
albania : albanian = france : french -> ['luxembourgish', 'slovakian', 'romanian', 'sicilian', 'rumanian']
albania : albanian = germany : german -> ['romanian', 'bulgarian', 'hungarian', 'estonian', 'finnish']
albania : albanian = greece : greek -> ['luxembourgish', 'macedonian', 'croatian', 'greek', 'galician']
albania : albanian = iceland : icelandic -> ['luxembourgish', 'croatian', 'faroese', 'icelandic', 'slovakian']
albania : albanian = india : indian -> ['maldivian', 'latvian', 'luxembourgish', 'estonian', 'belarusian']
albania : albanian = ireland : irish -> ['irish', 'luxembourgish', 'icelandic', 'faroese', 'romanian']
albania : albanian = israel : israeli -> ['romanian', 'croatian', 'bosnian', 'lithuanian', 'ukrainian']
albania : albanian = italy : italian -> ['romanian', 'luxembourgish', 'galician', 'latvian', 'slovakian']
albania : albanian = japan : japanese -> ['indonesian', 'romanian', 'finnish', 'croatian', 'latvian']
albania : albanian = korea : korean -> ['indonesian', 'estonian', 'ukrainian', 'latvian', 'maldivian']
albania : albanian = macedonia : macedonian -> ['macedonian', 'bosnian', 'kashubian', 'armenian', 'belarusian']
albania : albanian = malta : maltese -> ['comorian', 'croatian', 'luxembourgish', 'romanian', 'eritrean']
albania : albanian = mexico : mexican -> ['ecuadorian', 'malawian', 'mexican', 'belizean', 'sicilian']
albania : albanian = moldova : moldovan -> ['belarusian', 'ukrainian', 'croatian', 'slovenian', 'lithuanian']
albania : albanian = netherlands : dutch -> ['rumanian', 'romanian', 'aragonese', 'slovakian', 'danish']
albania : albanian = norway : norwegian -> ['hungarian', 'luxembourgish', 'croatian', 'romanian', 'slovakian']
albania : albanian = peru : peruvian -> ['algerian', 'ecuadorian', 'asturian', 'luxembourgish', 'surinamese']
albania : albanian = poland : polish -> ['romanian', 'ukrainian', 'croatian', 'serbian', 'belarusian']
albania : albanian = portugal : portuguese -> ['luxembourgish', 'portuguese', 'romanian', 'galician', 'croatian']
albania : albanian = russia : russian -> ['romanian', 'serbian', 'macedonian', 'ukrainian', 'croatian']
albania : albanian = slovakia : slovakian -> ['ukrainian', 'belarusian', 'slovakian', 'croatian', 'latvian']
albania : albanian = spain : spanish -> ['luxembourgish', 'galician', 'romanian', 'slovakian', 'algerian']
albania : albanian = sweden : swedish -> ['romanian', 'hungarian', 'croatian', 'swedish', 'danish']
albania : albanian = switzerland : swiss -> ['romanian', 'finnish', 'slovakian', 'luxembourgish', 'hungarian']
albania : albanian = thailand : thai -> ['luxembourgish', 'indonesian', 'latvian', 'maldivian', 'comorian']
argentina : argentinean = australia : australian -> ['african-born', 'polish-born', 'scottish-born', 'welsh-born', 'indian-born']
argentina : argentinean = austria : austrian -> ['austrian-born', 'spanish-born', 'polish-born', 'russian-born', 'italian-born']
