athens : greece = baghdad : iraq -> ['syria', 'iraq', 'libya', 'afghanistan', 'iran']
athens : greece = bangkok : thailand -> ['thailand', 'indonesia', 'cambodia', 'malaysia', 'myanmar']
athens : greece = beijing : china -> ['china', 'taiwan', 'mongolia', 'guangdong', 'thailand']
athens : greece = berlin : germany -> ['germany', 'allied-occupied', 'italy', 'bonn', 'belgium']
athens : greece = bern : switzerland -> ['switzerland', 'aargau', 'obwalden', 'graubnden', 'basel-country']
athens : greece = cairo : egypt -> ['egypt', 'syria', 'libya', 'tunisia', 'morocco']
athens : greece = canberra : australia -> ['australia', 'queensland', 'tasmania', 'zealand', 'brisbane']
athens : greece = hanoi : vietnam -> ['cambodia', 'thailand', 'vietnam', 'indonesia', 'laos']
athens : greece = havana : cuba -> ['cuba', 'venezuela', 'ecuador', 'argentina', 'peru']
athens : greece = helsinki : finland -> ['finland', 'latvia', 'tampere', 'kuopio', 'lappeenranta']
athens : greece = islamabad : pakistan -> ['pakistan', 'afghanistan', 'sindh', 'tajikistan', 'indonesia']
athens : greece = kabul : afghanistan -> ['afghanistan', 'pakistan', 'syria', 'libya', 'iraq']
athens : greece = london : england -> ['scandinavia', 'britain', 'germany', 'belgium', 'italy']
athens : greece = madrid : spain -> ['spain', 'murcia', 'portugal', 'extremadura', 'castile-la']
athens : greece = moscow : russia -> ['russia', 'ukraine', 'bulgaria', 'finland', 'belorussia']
athens : greece = oslo : norway -> ['norway', 'finland', 'trondheim', 'denmark', 'iceland']
athens : greece = ottawa : canada -> ['canada', 'mississauga', 'drummondville', 'saskatchewan', 'rouyn-noranda']
athens : greece = paris : france -> ['france', 'belgium', 'italy', 'spain', 'brussels']
athens : greece = rome : italy -> ['italy', 'sardinia', 'bulgaria', 'spain', 'france']
athens : greece = stockholm : sweden -> ['sweden', 'finland', 'norway', 'denmark', 'scandinavia']
athens : greece = tehran : iran -> ['iran', 'tajikistan', 'syria', 'afghanistan', 'kyrgyzstan']
athens : greece = tokyo : japan -> ['japan', 'hokkaid', 'taiwan', 'kanagawa', 'osaka']
baghdad : iraq = bangkok : thailand -> ['thailand', 'cambodia', 'vietnam', 'laos', 'myanmar']
baghdad : iraq = beijing : china -> ['china', 'vietnam', 'prc', 'guangzhou', 'tajikistan']
baghdad : iraq = berlin : germany -> ['germany', 'frg', 'munich', 'saarland', 'hamburg']
baghdad : iraq = bern : switzerland -> ['switzerland', 'aargau', 'berne', 'obwalden', 'glarus']
baghdad : iraq = cairo : egypt -> ['egypt', 'libya', 'syria', 'tunisia', 'afghanistan']
baghdad : iraq = canberra : australia -> ['queensland', 'australia', 'tasmania', 'nsw', 'brumbies']
baghdad : iraq = hanoi : vietnam -> ['vietnam', 'cambodia', 'laos', 'thailand', 'afghanistan']
baghdad : iraq = havana : cuba -> ['cuba', 'argentina', 'haiti', 'habana', 'venezuela']
baghdad : iraq = helsinki : finland -> ['finland', 'tampere', 'latvia', 'vantaa', 'estonia']
baghdad : iraq = islamabad : pakistan -> ['afghanistan', 'pakistan', 'tajikistan', 'kuwait', 'bangladesh']
baghdad : iraq = kabul : afghanistan -> ['afghanistan', 'libya', 'tajikistan', 'iran', 'helmand']
baghdad : iraq = london : england -> ['merseyside', 'cornwall', 'britain', 'haringey', 'sutton']
baghdad : iraq = madrid : spain -> ['spain', 'extremadura', 'castilla', 'catalonia', 'castile-la']
baghdad : iraq = moscow : russia -> ['russia', 'ussr', 'belarus', 'ukraine', 'tajikistan']
baghdad : iraq = oslo : norway -> ['norway', 'trondheim', 'rogaland', 'finland', 'hordaland']
baghdad : iraq = ottawa : canada -> ['mississauga', 'lloydminster', 'sarnia', 'ontario', 'rouyn-noranda']
baghdad : iraq = paris : france -> ['france', 'belgium', 'menton', 'italy', 'tlvisions']
baghdad : iraq = rome : italy -> ['italy', 'greece', 'spain', 'gaul', 'france']
baghdad : iraq = stockholm : sweden -> ['sweden', 'finland', 'norway', 'denmark', 'gothenburg']
baghdad : iraq = tehran : iran -> ['iran', 'afghanistan', 'tajikistan', 'kyrgyzstan', 'gilan']
baghdad : iraq = tokyo : japan -> ['japan', 'vietnam', 'taiwan', 'osaka', 'hokkaido']
baghdad : iraq = athens : greece -> ['greece', 'macedonia', 'maroussi', 'cyprus', 'messenia']
bangkok : thailand = beijing : china -> ['china', 'mongolia', 'taiwan', 'sichuan', 'guangdong']
bangkok : thailand = berlin : germany -> ['germany', 'italy', 'finland', 'belgium', 'sweden']
bangkok : thailand = bern : switzerland -> ['obwalden', 'aargau', 'basel-country', 'switzerland', 'schwyz']
