code : coding = dance : dancing -> ['breakdancing', 'dancing', 'breakdance', 'choreography', 'drumming']
code : coding = debug : debugging -> ['post-processing', 'troubleshoot', 'debugging', 'transcoding', 'user-interface']
code : coding = decrease : decreasing -> ['increase', 'increases', 'decreasing', 'decreases', 'reduction']
code : coding = describe : describing -> ['characterize', 'elucidate', 'visualize', 'visualise', 'conceptualize']
code : coding = discover : discovering -> ['uncover', 'dissect', 'discovering', 'deduce', 'explore']
code : coding = enhance : enhancing -> ['improve', 'amplify', 'sharpen', 'optimise', 'enhances']
code : coding = fly : flying -> ['flies', 'gnaw', 'respire', 'extrude', 'vocalize']
code : coding = generate : generating -> ['produce', 'amplify', 'synthesise', 'localize', 'create']
code : coding = go : going -> ['gone', 'went', 'goes', 'going', 'proceed']
code : coding = implement : implementing -> ['formulate', 'conceptualize', 'fine-tune', 'formalize', 'visualise']
code : coding = increase : increasing -> ['decrease', 'increases', 'overestimate', 'decreasing', 'decreases']
code : coding = invent : inventing -> ['conceptualize', 'devise', 'formulate', 'visualise', 'concoct']
code : coding = jump : jumping -> ['jumps', 'jumping', 'sprinting', 'salchow', 'f11']
code : coding = listen : listening -> ['notate', 'overreact', 'enunciate', 'berate', 'visualise']
code : coding = look : looking -> ['looked', 'looks', 'looking', 'photoshopping', 'once-over']
code : coding = move : moving -> ['moves', 'moving', 'rearrange', 'unwind', 'recombine']
code : coding = play : playing -> ['playing', 'plays', 'lip-sync', 'sight-reading', 'improvise']
code : coding = predict : predicting -> ['quantify', 'visualize', 'analyze', 'visualise', 'conceptualize']
code : coding = read : reading -> ['enunciate', 're-read', 'proofread', 'reread', 'notate']
code : coding = run : running -> ['running', 'runs', 'slogging', 'trudge', 'speed-up']
code : coding = say : saying -> ['theorise', 'surmise', 'enunciate', 'speculate', 'opine']
code : coding = scream : screaming -> ['shriek', 'squeal', 'whine', 'kick-ass', 'chattering']
code : coding = see : seeing -> ['visualise', 'notate', 'enunciate', 'elucidate', 'guage']
code : coding = shuffle : shuffling -> ['shuffles', 'shuffling', 'strumming', 'd-pad', 'bluescreen']
code : coding = sing : singing -> ['singing', 'improvise', 'rehearse', 'sang', 'choreograph']
code : coding = sit : sitting -> ['kneel', 'sat', 'socialize', 'urinate', 'vocalize']
